name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,70,85,70,85,70,85,0.0,70,84,0.6493506493506493,2026-01-11
চাল (মাঝারী)পাইজাম/আটাশ,প্রতি কেজি,58,68,58,68,58,68,0.0,60,65,0.8,2026-01-11
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,50,60,54,60,54,60,-3.508771929824561,54,58,-1.7857142857142856,2026-01-11
আটা সাদা (খোলা),প্রতি কেজি,45,50,45,50,45,50,0.0,40,45,11.76470588235294,2026-01-11
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,62,55,62,55,62,0.0,50,55,11.428571428571429,2026-01-11
ময়দা (খোলা),প্রতি কেজি,55,65,55,65,55,65,0.0,55,60,4.3478260869565215,2026-01-11
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,75,65,75,65,75,0.0,65,75,0.0,2026-01-11
সয়াবিন তেল (লুজ),প্রতি লিটার,174,185,172,185,170,180,2.571428571428571,163,165,9.451219512195122,2026-01-11
সয়াবিন তেল (বোতল),৫ লিটার,920,965,920,965,920,965,0.0,840,850,11.538461538461538,2026-01-11
সয়াবিন তেল (বোতল),2 লিটার,378,395,378,395,378,395,0.0,340,350,12.028985507246375,2026-01-11
সয়াবিন তেল (বোতল),১ লিটার,190,198,189,198,189,198,0.2583979328165375,173,175,11.494252873563218,2026-01-11
পাম অয়েল (লুজ),প্রতি লিটার,152,162,152,162,152,162,0.0,155,158,0.3194888178913738,2026-01-11
সুপার পাম অয়েল (লুজ),প্রতি লিটার,155,165,155,165,155,165,0.0,159,162,-0.3115264797507788,2026-01-11
রাইস ব্রান তেল (বোতল),৫ লিটার,1030,1080,1030,1080,1030,1080,0.0,980,1030,4.975124378109453,2026-01-11
মশুর ডাল (বড় দানা),প্রতি কেজি,80,105,90,100,90,100,-2.631578947368421,105,110,-13.953488372093023,2026-01-11
মশুর ডাল (মাঝারী দানা),প্রতি কেজি,110,130,115,140,115,140,-5.88235294117647,110,120,4.3478260869565215,2026-01-11
মশুর ডাল (ছোট দানা),প্রতি কেজি,150,160,160,170,150,160,0.0,130,140,14.814814814814811,2026-01-11
মুগ ডাল (মানভেদে),প্রতি কেজি,120,180,140,180,140,180,-6.25,130,180,-3.225806451612903,2026-01-11
এ্যাংকর ডাল,প্রতি কেজি,50,65,50,65,50,75,-8.0,65,80,-20.689655172413797,2026-01-11
ছোলা (মানভেদে),প্রতি কেজি,80,95,90,100,95,110,-14.634146341463412,120,130,-30.0,2026-01-11
আলু (নতুন/পুরাতন),প্রতি কেজি,25,35,20,30,20,30,20.0,35,50,-29.411764705882355,2026-01-11
পিঁয়াজ (দেশী)(নতুন/পুরাতন),প্রতি কেজি,60,70,60,75,100,140,-45.83333333333333,50,70,8.333333333333332,2026-01-11
