name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,55,64,55,64,60,65,-4.8,55,65,-0.8333333333333334,2021-05-18
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,48,52,50,56,52,60,-10.714285714285714,45,50,5.263157894736842,2021-05-18
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,44,48,44,48,46,52,-6.122448979591836,38,48,6.976744186046512,2021-05-18
আটা সাদা (খোলা),প্রতি কেজি,30,32,30,32,30,32,0.0,28,32,3.333333333333333,2021-05-18
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,32,35,32,35,32,35,0.0,35,42,-12.987012987012983,2021-05-18
ময়দা (খোলা),প্রতি কেজি,35,36,33,36,35,38,-2.73972602739726,35,45,-11.25,2021-05-18
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,42,45,42,45,40,45,2.3529411764705883,45,50,-8.421052631578947,2021-05-18
সয়াবিন তেল (লুজ),প্রতি লিটার,118,122,118,122,122,125,-2.834008097165992,88,92,33.33333333333333,2021-05-18
সয়াবিন তেল (বোতল),৫ লিটার,635,670,640,660,630,650,1.953125,470,520,31.818181818181817,2021-05-18
সয়াবিন তেল (বোতল),১ লিটার,135,145,135,140,135,140,1.818181818181818,105,110,30.23255813953488,2021-05-18
পাম অয়েল (লুজ),প্রতি লিটার,107,110,107,110,106,110,0.4629629629629629,65,70,60.74074074074074,2021-05-18
পাম অয়েল (সুপার),প্রতি লিটার,110,115,112,115,111,113,0.4464285714285714,75,80,45.16129032258064,2021-05-18
মশুর ডাল (বড় দানা),প্রতি কেজি,65,75,65,75,68,70,1.4492753623188406,80,90,-17.647058823529413,2021-05-18
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,80,90,80,90,80,90,0.0,100,110,-19.047619047619047,2021-05-18
মশুর ডাল (ছোট দানা),প্রতি কেজি,100,110,100,110,100,110,0.0,120,130,-16.0,2021-05-18
মুগ ডাল (মানভেদে),প্রতি কেজি,110,140,130,140,110,140,0.0,90,130,13.636363636363637,2021-05-18
এ্যাংকর ডাল,প্রতি কেজি,40,50,40,50,44,46,0.0,40,45,5.88235294117647,2021-05-18
ছোলা (মানভেদে),প্রতি কেজি,60,70,65,70,65,75,-7.142857142857142,70,75,-10.344827586206897,2021-05-18
আলু (মানভেদে),প্রতি কেজি,18,20,18,20,20,22,-9.523809523809524,22,25,-19.148936170212767,2021-05-18
পিঁয়াজ (দেশী),প্রতি কেজি,38,40,38,45,38,40,0.0,40,45,-8.235294117647058,2021-05-18
পিঁয়াজ (আমদানি),প্রতি কেজি,35,40,30,40,35,36,5.633802816901409,35,40,0.0,2021-05-18
রসুন (দেশী) নতুন/পুরাতন,প্রতি কেজি,60,80,60,80,70,90,-12.5,100,120,-36.36363636363637,2021-05-18
রসুন (আমদানি),প্রতি কেজি,100,130,110,125,110,120,0.0,130,150,-17.857142857142858,2021-05-18
শুকনা মরিচ (দেশী),প্রতি কেজি,180,240,180,240,220,280,-16.0,250,300,-23.63636363636364,2021-05-18
