name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,62,75,60,75,60,75,1.4814814814814816,60,68,7.03125,2023-04-26
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,56,50,56,50,56,0.0,48,56,1.9230769230769231,2023-04-26
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,46,50,45,50,46,50,0.0,45,48,3.225806451612903,2023-04-26
আটা সাদা (খোলা),প্রতি কেজি,55,58,55,58,55,58,0.0,38,40,44.87179487179488,2023-04-26
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,62,65,62,65,65,68,-4.511278195488721,42,45,45.97701149425287,2023-04-26
ময়দা (খোলা),প্রতি কেজি,58,62,58,62,60,65,-4.0,53,56,10.091743119266056,2023-04-26
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,70,75,70,75,75,78,-5.228758169934641,55,60,26.08695652173913,2023-04-26
সয়াবিন তেল (লুজ),প্রতি লিটার,168,175,168,175,170,175,-0.5797101449275363,168,172,0.8823529411764706,2023-04-26
সয়াবিন তেল (বোতল),৫ লিটার,870,890,870,890,870,890,0.0,740,760,17.333333333333336,2023-04-26
সয়াবিন তেল (বোতল),১ লিটার,180,185,180,185,180,185,0.0,160,165,12.307692307692308,2023-04-26
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,125,135,-1.9230769230769231,158,163,-20.5607476635514,2023-04-26
পাম অয়েল (সুপার),প্রতি লিটার,130,135,134,140,0,0,,160,165,-18.461538461538463,2023-04-26
মশুর ডাল (বড় দানা),প্রতি কেজি,95,100,95,100,95,100,0.0,95,105,-2.5,2023-04-26
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,110,115,110,115,110,115,0.0,110,115,0.0,2023-04-26
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,140,130,140,130,140,0.0,120,130,8.0,2023-04-26
মুগ ডাল (মানভেদে),প্রতি কেজি,95,135,95,135,95,135,0.0,120,140,-11.538461538461538,2023-04-26
এ্যাংকর ডাল,প্রতি কেজি,70,75,70,75,70,75,0.0,55,60,26.08695652173913,2023-04-26
ছোলা (মানভেদে),প্রতি কেজি,80,85,80,85,80,90,-2.941176470588235,68,75,15.384615384615383,2023-04-26
আলু (মানভেদে),প্রতি কেজি,28,30,28,30,20,25,28.88888888888889,16,20,61.11111111111112,2023-04-26
পিঁয়াজ (দেশী),প্রতি কেজি,45,50,30,40,35,40,26.666666666666668,30,35,46.15384615384615,2023-04-26
পিঁয়াজ (আমদানি),প্রতি কেজি,40,50,40,45,35,45,12.5,25,40,38.46153846153847,2023-04-26
রসুন(দেশী) নতুন/পুরাতন),প্রতি কেজি,120,140,100,120,100,120,18.181818181818183,50,60,136.36363636363637,2023-04-26
রসুন (আমদানি),প্রতি কেজি,130,140,120,140,130,160,-6.896551724137931,100,130,17.391304347826086,2023-04-26
শুকনা মরিচ (দেশী),প্রতি কেজি,400,440,400,440,380,420,5.0,180,200,121.05263157894736,2023-04-26
শুকনা মরিচ (আমদানি),প্রতি কেজি,420,460,420,460,400,440,4.761904761904762,300,350,35.38461538461539,2023-04-26
হলুদ (দেশী),প্রতি কেজি,220,290,220,290,200,240,15.909090909090908,200,220,21.428571428571427,2023-04-26
হলুদ (আমদানি),প্রতি কেজি,190,230,190,230,200,230,-2.3255813953488373,140,180,31.25,2023-04-26
আদা (দেশী),প্রতি কেজি,200,220,220,230,200,220,0.0,90,140,82.6086956521739,2023-04-26
আদা (আমদানি),প্রতি কেজি,140,250,140,250,120,260,2.631578947368421,70,110,116.66666666666669,2023-04-26
জিরা,প্রতি কেজি,640,720,600,700,600,650,8.799999999999999,380,450,63.85542168674698,2023-04-26
দারুচিনি,প্রতি কেজি,450,480,420,520,450,520,-4.123711340206185,400,500,3.333333333333333,2023-04-26
লবঙ্গ,প্রতি কেজি,1500,1600,1400,1500,1400,1500,6.896551724137931,1050,1200,37.77777777777778,2023-04-26
এলাচ(ছোট),প্রতি কেজি,1600,2300,1600,2600,1600,2600,-7.142857142857142,2000,3200,-25.0,2023-04-26
ধনে,প্রতি কেজি,140,160,140,160,140,170,-3.225806451612903,120,170,3.4482758620689653,2023-04-26
তেজপাতা,প্রতি কেজি,120,150,150,200,180,200,-28.947368421052637,120,190,-12.903225806451612,2023-04-26
রুই,প্রতি কেজি,350,450,350,450,350,450,0.0,250,350,33.33333333333333,2023-04-26
ইলিশ,প্রতি কেজি,600,1300,600,1300,600,1300,0.0,600,1400,-5.0,2023-04-26
গরু,প্রতি কেজি,730,750,730,750,720,750,0.6802721088435374,650,680,11.278195488721805,2023-04-26
খাসী,প্রতি কেজি,1000,1100,1000,1100,1000,1050,2.4390243902439024,850,950,16.666666666666664,2023-04-26
মুরগী(ব্রয়লার),প্রতি কেজি,240,260,200,215,220,250,6.382978723404255,160,170,51.51515151515152,2023-04-26
মুরগী (দেশী),প্রতি কেজি,450,550,450,550,450,550,0.0,500,550,-4.761904761904762,2023-04-26
ডানো,১ কেজি,820,850,820,850,820,850,0.0,690,710,19.28571428571429,2023-04-26
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,790,820,790,820,780,820,0.625,680,710,15.827338129496402,2023-04-26
ফ্রেশ,১ কেজি,790,840,790,840,790,840,0.0,580,620,35.833333333333336,2023-04-26
মার্কস,১ কেজি,780,820,780,820,780,820,0.0,600,690,24.031007751937985,2023-04-26
চিনি,প্রতি কেজি,120,130,115,120,115,118,7.296137339055794,78,80,58.22784810126582,2023-04-26
খেজুর(সাধারণ মানের),প্রতি কেজি,160,450,160,450,160,450,0.0,150,400,10.909090909090908,2023-04-26
লবণ(প্যাঃ)আয়োডিনযুক্ত(মানভেদে),প্রতি কেজি,38,40,38,42,38,42,-2.5,30,35,20.0,2023-04-26
ডিম (ফার্ম),প্রতি হালি,42,45,42,45,45,50,-8.421052631578947,33,36,26.08695652173913,2023-04-26
লেখার কাগজ(সাদা),প্রতি দিস্তা,30,35,25,30,25,30,18.181818181818183,20,25,44.44444444444444,2023-04-26
"এম,এস রড (৬০ গ্রেড)",প্রতি মেঃটন,95500,101500,95500,101500,95000,101600,0.2034587995930823,87000,90200,11.173814898419865,2023-04-26
"এম,এস রড( ৪০ গ্রেড)",প্রতি মেঃটন,93500,96000,93500,96000,90000,95000,2.4324324324324325,83000,86500,11.799410029498524,2023-04-26
