name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,62,75,62,75,60,72,3.787878787878788,63,75,-0.7246376811594203,2023-11-28
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,55,58,52,58,52,55,5.607476635514018,55,60,-1.7391304347826086,2023-11-28
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,50,52,50,52,48,52,2.0,48,55,-0.9708737864077668,2023-11-28
আটা সাদা (খোলা),প্রতি কেজি,45,50,45,50,42,45,9.195402298850574,60,63,-22.76422764227642,2023-11-28
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,65,55,60,50,55,14.285714285714285,65,70,-11.11111111111111,2023-11-28
ময়দা (খোলা),প্রতি কেজি,65,70,62,65,55,60,17.391304347826086,70,75,-6.896551724137931,2023-11-28
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,70,75,65,75,60,65,16.0,75,80,-6.451612903225806,2023-11-28
সয়াবিন তেল (লুজ),প্রতি লিটার,150,155,150,155,140,145,7.017543859649122,170,175,-11.594202898550725,2023-11-28
সয়াবিন তেল (বোতল),৫ লিটার,790,820,780,810,770,800,2.547770700636943,880,925,-10.80332409972299,2023-11-28
সয়াবিন তেল (বোতল),১ লিটার,165,170,165,168,165,168,0.6006006006006006,178,190,-8.967391304347826,2023-11-28
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,120,125,4.081632653061225,125,135,-1.9230769230769231,2023-11-28
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,130,140,1.851851851851852,140,145,-3.508771929824561,2023-11-28
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,100,110,2.380952380952381,2023-11-28
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,120,125,120,125,120,125,0.0,125,130,-3.92156862745098,2023-11-28
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,130,135,0.0,130,140,-1.851851851851852,2023-11-28
মুগ ডাল (মানভেদে),প্রতি কেজি,95,135,95,135,95,135,0.0,95,135,0.0,2023-11-28
এ্যাংকর ডাল,প্রতি কেজি,70,75,70,75,70,75,0.0,65,75,3.571428571428571,2023-11-28
ছোলা (মানভেদে),প্রতি কেজি,85,90,85,90,85,90,0.0,80,85,6.0606060606060606,2023-11-28
আলু (মানভেদে),প্রতি কেজি,42,45,45,50,52,55,-18.69158878504673,22,25,85.1063829787234,2023-11-28
পিঁয়াজ (দেশী),প্রতি কেজি,100,120,110,120,95,105,10.0,30,50,175.0,2023-11-28
পিঁয়াজ (আমদানি),প্রতি কেজি,90,100,90,100,75,85,18.75,35,45,137.5,2023-11-28
রসুন(দেশী) নতুন/পুরাতন),প্রতি কেজি,200,230,200,230,180,220,7.5,70,80,186.66666666666663,2023-11-28
রসুন (আমদানি),প্রতি কেজি,180,200,180,200,160,200,5.555555555555555,120,130,52.0,2023-11-28
শুকনা মরিচ (দেশী),প্রতি কেজি,380,420,380,420,380,420,0.0,370,400,3.896103896103896,2023-11-28
