name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,72,85,72,85,70,82,3.289473684210526,62.0,75.0,14.5985401459854,2025-03-12
চাল (মাঝারী)পাইজাম/আটাশ,প্রতি কেজি,58,65,58,65,58,63,1.6528925619834711,52.0,56.0,13.88888888888889,2025-03-12
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,50,55,50,58,50,55,0.0,48.0,52.0,5.0,2025-03-12
আটা সাদা (খোলা),প্রতি কেজি,40,45,40,45,40,45,0.0,45.0,50.0,-10.526315789473683,2025-03-12
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,48,55,50,55,0.0,55.0,60.0,-8.695652173913043,2025-03-12
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,60.0,65.0,-8.0,2025-03-12
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,72,65,75,65,70,1.4814814814814816,70.0,75.0,-5.517241379310345,2025-03-12
সয়াবিন তেল (লুজ),প্রতি লিটার,174,184,182,190,180,185,-1.9178082191780823,148.0,155.0,18.151815181518156,2025-03-12
সয়াবিন তেল (বোতল),৫ লিটার,845,852,845,852,850,852,-0.2937720329024677,780.0,800.0,7.405063291139241,2025-03-12
সয়াবিন তেল (বোতল),2 লিটার,345,350,345,350,348,350,-0.4297994269340974,330.0,335.0,4.511278195488721,2025-03-12
সয়াবিন তেল (বোতল),১ লিটার,175,178,175,178,175,176,0.5698005698005698,160.0,165.0,8.615384615384615,2025-03-12
পাম অয়েল (লুজ),প্রতি লিটার,146,155,147,155,148,152,0.3333333333333333,125.0,130.0,18.03921568627451,2025-03-12
সুপার পাম অয়েল (লুজ),প্রতি লিটার,155,160,155,160,155,160,0.0,135.0,140.0,14.545454545454543,2025-03-12
রাইস ব্রান তেল (বোতল),৫ লিটার,1050,1070,1050,1070,1050,1060,0.4739336492890995,,,,2025-03-12
রাইস ব্রান তেল (বোতল),১ লিটার,205,210,205,210,205,210,0.0,,,,2025-03-12
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,110.0,112.0,-3.153153153153153,2025-03-12
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,110,120,110,120,110,120,0.0,120.0,125.0,-6.122448979591836,2025-03-12
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,140,130,140,130,140,0.0,135.0,140.0,-1.818181818181818,2025-03-12
মুগ ডাল (মানভেদে),প্রতি কেজি,130,180,130,180,130,180,0.0,150.0,170.0,-3.125,2025-03-12
এ্যাংকর ডাল,প্রতি কেজি,60,80,60,80,70,85,-9.67741935483871,80.0,90.0,-17.647058823529413,2025-03-12
ছোলা (মানভেদে),প্রতি কেজি,100,110,110,120,110,120,-8.695652173913043,100.0,110.0,0.0,2025-03-12
আলু (মানভেদে),প্রতি কেজি,20,30,20,30,20,30,0.0,30.0,35.0,-23.07692307692308,2025-03-12
পিঁয়াজ (দেশী),প্রতি কেজি,35,50,40,50,40,50,-5.555555555555555,90.0,110.0,-57.49999999999999,2025-03-12
পিঁয়াজ (আমদানি),প্রতি কেজি,0,0,50,70,60,70,-100.0,115.0,120.0,-100.0,2025-03-12
রসুন (দেশী),প্রতি কেজি,80,240,100,240,140,240,-15.789473684210526,140.0,160.0,6.666666666666667,2025-03-12
রসুন (আমদানি),প্রতি কেজি,215,240,220,240,210,240,1.1111111111111112,180.0,220.0,13.750000000000002,2025-03-12
শুকনা মরিচ (দেশী),প্রতি কেজি,250,300,250,300,250,300,0.0,380.0,450.0,-33.734939759036145,2025-03-12
শুকনা মরিচ (আমদানি),প্রতি কেজি,350,430,350,430,350,450,-2.5,450.0,500.0,-17.894736842105264,2025-03-12
হলুদ (দেশী),প্রতি কেজি,320,400,320,400,320,350,7.462686567164178,280.0,300.0,24.13793103448276,2025-03-12
হলুদ (আমদানি),প্রতি কেজি,250,420,250,420,250,300,21.818181818181817,250.0,290.0,24.074074074074076,2025-03-12
