name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,58,65,55,62,58,65,0.0,55,65,2.5,2021-05-30
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,52,56,48,52,52,58,-1.818181818181818,45,55,8.0,2021-05-30
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,44,48,44,47,45,50,-3.1578947368421053,38,48,6.976744186046512,2021-05-30
আটা সাদা (খোলা),প্রতি কেজি,30,32,30,32,30,32,0.0,28,32,3.333333333333333,2021-05-30
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,32,36,32,35,32,35,1.4925373134328357,33,42,-9.333333333333334,2021-05-30
ময়দা (খোলা),প্রতি কেজি,35,40,35,36,35,38,2.73972602739726,35,40,0.0,2021-05-30
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,42,46,42,45,40,45,3.5294117647058822,42,48,-2.2222222222222223,2021-05-30
সয়াবিন তেল (লুজ),প্রতি লিটার,125,130,120,125,120,123,4.938271604938271,88,90,43.25842696629213,2021-05-30
সয়াবিন তেল (বোতল),৫ লিটার,660,730,635,675,630,650,8.59375,465,520,41.11675126903553,2021-05-30
সয়াবিন তেল (বোতল),১ লিটার,140,150,135,145,130,140,7.4074074074074066,105,110,34.88372093023256,2021-05-30
পাম অয়েল (লুজ),প্রতি লিটার,112,115,107,110,106,110,5.092592592592593,65,75,62.142857142857146,2021-05-30
পাম অয়েল (সুপার),প্রতি লিটার,115,119,111,112,111,115,3.5398230088495577,75,80,50.967741935483865,2021-05-30
মশুর ডাল (বড় দানা),প্রতি কেজি,70,80,70,75,70,72,5.633802816901409,80,90,-11.76470588235294,2021-05-30
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,80,95,80,90,80,90,2.941176470588235,100,110,-16.666666666666664,2021-05-30
মশুর ডাল (ছোট দানা),প্রতি কেজি,100,110,100,110,100,110,0.0,120,130,-16.0,2021-05-30
মুগ ডাল (মানভেদে),প্রতি কেজি,110,140,110,140,110,140,0.0,90,130,13.636363636363637,2021-05-30
এ্যাংকর ডাল,প্রতি কেজি,40,50,40,50,44,46,0.0,40,45,5.88235294117647,2021-05-30
ছোলা (মানভেদে),প্রতি কেজি,60,70,65,70,65,75,-7.142857142857142,65,70,-3.7037037037037033,2021-05-30
আলু (মানভেদে),প্রতি কেজি,20,25,18,20,20,22,7.142857142857142,22,25,-4.25531914893617,2021-05-30
পিঁয়াজ (দেশী),প্রতি কেজি,45,50,40,45,35,40,26.666666666666668,45,50,0.0,2021-05-30
পিঁয়াজ (আমদানি),প্রতি কেজি,40,45,35,42,30,35,30.76923076923077,40,45,0.0,2021-05-30
