name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,60,68,60,70,58,68,1.5873015873015872,55,64,7.563025210084033,2022-01-18
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,58,52,58,48,55,4.854368932038835,50,56,1.8867924528301887,2022-01-18
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,45,50,45,50,45,48,2.1505376344086025,43,47,5.555555555555555,2022-01-18
আটা সাদা (খোলা),প্রতি কেজি,35,36,34,36,34,38,-1.3888888888888888,28,30,22.41379310344828,2022-01-18
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,42,45,42,45,40,45,2.3529411764705883,30,33,38.095238095238095,2022-01-18
ময়দা (খোলা),প্রতি কেজি,46,50,46,50,45,50,1.0526315789473684,35,36,35.2112676056338,2022-01-18
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,50,55,50,55,0.0,36,45,29.629629629629623,2022-01-18
সয়াবিন তেল (লুজ),প্রতি লিটার,145,148,140,145,140,145,2.807017543859649,112,116,28.50877192982456,2022-01-18
সয়াবিন তেল (বোতল),৫ লিটার,710,750,700,750,700,750,0.6896551724137931,550,620,24.786324786324787,2022-01-18
সয়াবিন তেল (বোতল),১ লিটার,150,160,150,160,150,160,0.0,130,140,14.814814814814811,2022-01-18
পাম অয়েল (লুজ),প্রতি লিটার,130,135,130,135,130,135,0.0,97,102,33.165829145728644,2022-01-18
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,134,138,1.1029411764705883,102,105,32.850241545893724,2022-01-18
মশুর ডাল (বড় দানা),প্রতি কেজি,95,100,95,100,85,90,11.428571428571429,65,70,44.44444444444444,2022-01-18
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,105,110,100,105,95,100,10.256410256410255,80,90,26.47058823529412,2022-01-18
মশুর ডাল (ছোট দানা),প্রতি কেজি,110,120,110,120,105,110,6.976744186046512,100,110,9.523809523809524,2022-01-18
মুগ ডাল (মানভেদে),প্রতি কেজি,120,135,115,135,120,130,2.0,100,140,6.25,2022-01-18
এ্যাংকর ডাল,প্রতি কেজি,48,50,48,50,45,50,3.1578947368421053,38,42,22.5,2022-01-18
ছোলা (মানভেদে),প্রতি কেজি,75,80,70,75,65,70,14.814814814814811,70,80,3.333333333333333,2022-01-18
আলু (মানভেদে),প্রতি কেজি,15,20,18,20,24,30,-35.18518518518518,20,30,-30.0,2022-01-18
পিঁয়াজ (দেশী),প্রতি কেজি,35,40,40,50,50,65,-34.78260869565217,30,40,7.142857142857142,2022-01-18
পিঁয়াজ (আমদানি),প্রতি কেজি,40,45,45,50,45,50,-10.526315789473683,20,35,54.54545454545454,2022-01-18
