name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,60,72,60,72,60,72,0.0,65,75,-5.714285714285714,2023-10-09
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,55,50,55,50,55,0.0,54,58,-6.25,2023-10-09
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,50,48,50,48,50,0.0,48,52,-2.0,2023-10-09
আটা সাদা (খোলা),প্রতি কেজি,42,45,42,45,45,50,-8.421052631578947,52,55,-18.69158878504673,2023-10-09
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,45,55,54,60,54,60,-12.280701754385964,58,60,-15.254237288135592,2023-10-09
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,60,65,-8.0,2023-10-09
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,60,65,60,65,65,70,-7.4074074074074066,70,75,-13.79310344827586,2023-10-09
সয়াবিন তেল (লুজ),প্রতি লিটার,155,160,155,160,155,160,0.0,160,175,-5.970149253731343,2023-10-09
সয়াবিন তেল (বোতল),৫ লিটার,780,825,780,825,800,850,-2.727272727272727,870,910,-9.831460674157304,2023-10-09
সয়াবিন তেল (বোতল),১ লিটার,168,170,169,170,170,175,-2.0289855072463765,185,192,-10.344827586206897,2023-10-09
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,130,140,-5.555555555555555,120,125,4.081632653061225,2023-10-09
পাম অয়েল (সুপার),প্রতি লিটার,0,0,0,0,0,0,,130,135,-100.0,2023-10-09
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,95,100,10.256410256410255,95,100,10.256410256410255,2023-10-09
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,115,120,0.0,110,120,2.1739130434782608,2023-10-09
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,125,135,1.9230769230769231,125,130,3.92156862745098,2023-10-09
মুগ ডাল (মানভেদে),প্রতি কেজি,95,135,95,135,95,135,0.0,95,135,0.0,2023-10-09
এ্যাংকর ডাল,প্রতি কেজি,70,75,70,75,70,75,0.0,70,75,0.0,2023-10-09
ছোলা (মানভেদে),প্রতি কেজি,85,90,85,90,75,80,12.903225806451612,70,75,20.689655172413797,2023-10-09
