name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,60,72,60,72,60,72,0.0,65,75,-5.714285714285714,2023-10-17
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,55,50,55,50,55,0.0,52,56,-2.7777777777777777,2023-10-17
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,50,48,50,48,50,0.0,46,50,2.083333333333333,2023-10-17
আটা সাদা (খোলা),প্রতি কেজি,42,45,42,45,45,48,-6.451612903225806,55,58,-23.00884955752212,2023-10-17
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,50,55,54,60,-7.894736842105263,58,63,-13.223140495867767,2023-10-17
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,60,65,-8.0,2023-10-17
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,60,65,60,65,60,65,0.0,70,75,-13.79310344827586,2023-10-17
সয়াবিন তেল (লুজ),প্রতি লিটার,150,155,155,160,155,160,-3.1746031746031744,162,170,-8.132530120481928,2023-10-17
সয়াবিন তেল (বোতল),৫ লিটার,780,800,780,825,780,850,-3.067484662576687,870,900,-10.734463276836156,2023-10-17
সয়াবিন তেল (বোতল),১ লিটার,165,168,168,170,170,175,-3.4782608695652173,175,185,-7.5,2023-10-17
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,130,140,-5.555555555555555,112,125,7.59493670886076,2023-10-17
পাম অয়েল (সুপার),প্রতি লিটার,0,0,0,0,0,0,,125,135,-100.0,2023-10-17
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,95,100,10.256410256410255,2023-10-17
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,115,120,0.0,110,120,2.1739130434782608,2023-10-17
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,125,135,1.9230769230769231,125,130,3.92156862745098,2023-10-17
মুগ ডাল (মানভেদে),প্রতি কেজি,95,135,95,135,95,135,0.0,95,135,0.0,2023-10-17
এ্যাংকর ডাল,প্রতি কেজি,70,75,70,75,70,75,0.0,70,75,0.0,2023-10-17
ছোলা (মানভেদে),প্রতি কেজি,85,90,85,90,75,85,9.375,70,75,20.689655172413797,2023-10-17
আলু (মানভেদে),প্রতি কেজি,42,45,42,45,45,50,-8.421052631578947,24,28,67.3076923076923,2023-10-17
