name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,62,75,60,75,62,75,0.0,60,75,1.4814814814814816,2024-03-04
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,55,50,55,52,56,-2.7777777777777777,52,58,-4.545454545454546,2024-03-04
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,50,48,50,48,52,-2.0,46,50,2.083333333333333,2024-03-04
আটা সাদা (খোলা),প্রতি কেজি,45,50,45,50,48,50,-3.061224489795918,58,60,-19.491525423728813,2024-03-04
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,60,55,60,55,65,-4.166666666666666,65,68,-13.533834586466163,2024-03-04
ময়দা (খোলা),প্রতি কেজি,60,65,60,65,65,70,-7.4074074074074066,65,68,-6.015037593984962,2024-03-04
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,70,75,70,75,70,75,0.0,75,78,-5.228758169934641,2024-03-04
সয়াবিন তেল (লুজ),প্রতি লিটার,150,155,155,158,158,165,-5.572755417956656,168,172,-10.294117647058822,2024-03-04
সয়াবিন তেল (বোতল),৫ লিটার,780,820,780,830,810,845,-3.3232628398791544,870,880,-8.571428571428571,2024-03-04
সয়াবিন তেল (বোতল),১ লিটার,163,170,168,172,170,173,-2.915451895043732,180,185,-8.767123287671232,2024-03-04
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,125,135,-1.9230769230769231,125,130,0.0,2024-03-04
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,135,140,0.0,135,140,0.0,2024-03-04
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,95,100,10.256410256410255,2024-03-04
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,120,125,120,125,120,125,0.0,110,115,8.88888888888889,2024-03-04
মশুর ডাল (ছোট দানা),প্রতি কেজি,135,140,135,140,135,140,0.0,130,135,3.7735849056603774,2024-03-04
মুগ ডাল (মানভেদে),প্রতি কেজি,150,170,130,180,130,180,3.225806451612903,95,135,39.130434782608695,2024-03-04
এ্যাংকর ডাল,প্রতি কেজি,80,90,75,80,70,80,13.333333333333334,70,75,17.24137931034483,2024-03-04
ছোলা (মানভেদে),প্রতি কেজি,100,110,95,110,95,110,2.4390243902439024,90,95,13.513513513513514,2024-03-04
"আলু (নতুন, মানভেদে)",প্রতি কেজি,25,30,25,30,35,45,-31.25,19,22,34.14634146341464,2024-03-04
পিঁয়াজ (নতুন) (দেশী),প্রতি কেজি,110,120,110,120,85,100,24.324324324324326,25,35,283.33333333333337,2024-03-04
পিঁয়াজ (আমদানি),প্রতি কেজি,105,110,90,120,100,120,-2.272727272727273,30,40,207.1428571428572,2024-03-04
রসুন(দেশী) নতুন,প্রতি কেজি,140,160,140,250,160,240,-25.0,95,120,39.53488372093023,2024-03-04
রসুন (আমদানি),প্রতি কেজি,180,220,180,200,200,240,-9.090909090909092,140,160,33.33333333333333,2024-03-04
শুকনা মরিচ (দেশী),প্রতি কেজি,380,450,420,450,380,420,3.75,320,430,10.666666666666668,2024-03-04
শুকনা মরিচ (আমদানি),প্রতি কেজি,450,500,450,500,480,500,-3.061224489795918,400,450,11.76470588235294,2024-03-04
হলুদ (দেশী),প্রতি কেজি,280,300,280,300,280,350,-7.936507936507936,190,230,38.095238095238095,2024-03-04
হলুদ (আমদানি),প্রতি কেজি,250,290,270,290,250,300,-1.818181818181818,180,230,31.70731707317073,2024-03-04
আদা (দেশী)(নতুন),প্রতি কেজি,250,280,250,280,250,280,0.0,160,180,55.88235294117647,2024-03-04
আদা (আমদানি),প্রতি কেজি,180,200,180,200,200,240,-13.636363636363637,100,320,-9.523809523809524,2024-03-04
জিরা,প্রতি কেজি,750,900,750,900,750,900,0.0,600,650,32.0,2024-03-04
দারুচিনি,প্রতি কেজি,500,580,520,580,450,600,2.857142857142857,450,520,11.34020618556701,2024-03-04
লবঙ্গ,প্রতি কেজি,1700,1900,1750,1850,1800,2000,-5.263157894736842,1400,1500,24.13793103448276,2024-03-04
এলাচ(ছোট),প্রতি কেজি,2500,3500,2400,3000,2600,3600,-3.225806451612903,1600,2600,42.85714285714285,2024-03-04
ধনে,প্রতি কেজি,240,260,240,260,240,280,-3.8461538461538463,130,180,61.29032258064516,2024-03-04
তেজপাতা,প্রতি কেজি,180,200,180,200,170,200,2.702702702702702,150,200,8.571428571428571,2024-03-04
রুই,প্রতি কেজি,280,350,300,350,300,400,-10.0,350,450,-21.25,2024-03-04
ইলিশ,প্রতি কেজি,650,1300,700,1300,900,1300,-11.363636363636363,600,1300,2.631578947368421,2024-03-04
গরু,প্রতি কেজি,720,750,730,750,700,750,1.3793103448275863,700,720,3.5211267605633805,2024-03-04
খাসী,প্রতি কেজি,1000,1100,1000,1100,900,1000,10.526315789473683,1000,1050,2.4390243902439024,2024-03-04
মুরগী(ব্রয়লার),প্রতি কেজি,195,200,195,200,185,200,2.5974025974025974,220,230,-12.22222222222222,2024-03-04
মুরগী (দেশী),প্রতি কেজি,480,520,480,520,480,550,-2.912621359223301,450,550,0.0,2024-03-04
ডানো,১ কেজি,800,820,800,820,800,830,-0.6134969325153374,840,900,-6.896551724137931,2024-03-04
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,790,820,800,820,790,830,-0.6172839506172839,820,850,-3.592814371257485,2024-03-04
ফ্রেশ,১ কেজি,780,800,780,800,790,830,-2.469135802469136,800,840,-3.658536585365853,2024-03-04
মার্কস,১ কেজি,790,800,790,800,780,830,-1.2422360248447204,800,820,-1.851851851851852,2024-03-04
চিনি,প্রতি কেজি,140,145,140,145,135,140,3.636363636363636,110,120,23.91304347826087,2024-03-04
খেজুর(সাধারণ মানের),প্রতি কেজি,250,450,250,450,250,450,0.0,150,450,16.666666666666664,2024-03-04
লবণ(প্যাঃ)আয়োডিনযুক্ত(মানভেদে),প্রতি কেজি,40,42,40,42,40,42,0.0,38,42,2.5,2024-03-04
ডিম (ফার্ম),প্রতি হালি,40,45,43,47,45,48,-8.60215053763441,42,45,-2.2988505747126435,2024-03-04
লেখার কাগজ(সাদা),প্রতি দিস্তা,30,35,30,35,30,35,0.0,25,30,18.181818181818183,2024-03-04
"এম,এস রড (৬০ গ্রেড)",প্রতি মেঃটন,92500,99500,92500,99500,95500,99500,-1.5384615384615383,87000,93000,6.666666666666667,2024-03-04
"এম,এস রড( ৪০ গ্রেড)",প্রতি মেঃটন,85500,90000,87500,90000,87500,90000,-1.1267605633802815,83000,85000,4.464285714285714,2024-03-04
