name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,60,68,60,68,60,65,2.4,50,62,14.285714285714285,2021-08-09
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,56,50,56,52,56,-1.851851851851852,44,50,12.76595744680851,2021-08-09
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,46,55,47,50,46,50,5.208333333333334,40,45,18.823529411764707,2021-08-09
আটা সাদা (খোলা),প্রতি কেজি,28,32,28,32,30,32,-3.225806451612903,28,30,3.4482758620689653,2021-08-09
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,33,35,33,35,32,35,1.4925373134328357,30,35,4.615384615384616,2021-08-09
ময়দা (খোলা),প্রতি কেজি,35,40,35,40,35,40,0.0,33,40,2.73972602739726,2021-08-09
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,42,45,42,45,42,45,0.0,40,45,2.3529411764705883,2021-08-09
সয়াবিন তেল (লুজ),প্রতি লিটার,120,126,120,125,116,118,5.128205128205128,80,85,49.09090909090909,2021-08-09
সয়াবিন তেল (বোতল),৫ লিটার,650,700,660,700,670,710,-2.1739130434782608,450,500,42.10526315789473,2021-08-09
সয়াবিন তেল (বোতল),১ লিটার,140,150,140,150,140,150,0.0,100,105,41.46341463414634,2021-08-09
পাম অয়েল (লুজ),প্রতি লিটার,108,112,108,112,103,108,4.265402843601896,65,70,62.96296296296296,2021-08-09
পাম অয়েল (সুপার),প্রতি লিটার,112,116,114,116,108,114,2.702702702702702,70,75,57.24137931034483,2021-08-09
মশুর ডাল (বড় দানা),প্রতি কেজি,70,80,75,80,75,80,-3.225806451612903,65,80,3.4482758620689653,2021-08-09
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,85,95,85,95,85,90,2.857142857142857,90,100,-5.263157894736842,2021-08-09
মশুর ডাল (ছোট দানা),প্রতি কেজি,100,110,100,110,100,110,0.0,100,110,0.0,2021-08-09
মুগ ডাল (মানভেদে),প্রতি কেজি,110,125,90,125,110,130,-2.083333333333333,100,120,6.8181818181818175,2021-08-09
এ্যাংকর ডাল,প্রতি কেজি,40,45,40,45,40,50,-5.555555555555555,35,45,6.25,2021-08-09
ছোলা (মানভেদে),প্রতি কেজি,60,70,60,70,60,70,0.0,65,75,-7.142857142857142,2021-08-09
আলু (মানভেদে),প্রতি কেজি,20,25,20,25,22,25,-4.25531914893617,35,40,-40.0,2021-08-09
