name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,62,75,62,75,60,75,1.4814814814814816,60,75,1.4814814814814816,2024-02-14
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,55,50,56,50,55,0.0,54,60,-7.894736842105263,2024-02-14
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,52,48,52,48,52,0.0,48,52,0.0,2024-02-14
আটা সাদা (খোলা),প্রতি কেজি,45,50,48,50,45,50,0.0,56,58,-16.666666666666664,2024-02-14
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,65,55,65,55,65,0.0,65,68,-9.774436090225564,2024-02-14
ময়দা (খোলা),প্রতি কেজি,65,70,65,70,65,70,0.0,65,70,0.0,2024-02-14
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,70,75,70,75,70,75,0.0,75,78,-5.228758169934641,2024-02-14
সয়াবিন তেল (লুজ),প্রতি লিটার,155,160,158,165,155,160,0.0,168,172,-7.352941176470589,2024-02-14
সয়াবিন তেল (বোতল),৫ লিটার,800,845,810,845,810,845,-0.6042296072507553,870,880,-6.0,2024-02-14
সয়াবিন তেল (বোতল),১ লিটার,170,173,170,173,170,173,0.0,180,185,-6.027397260273973,2024-02-14
পাম অয়েল (লুজ),প্রতি লিটার,125,135,125,135,125,130,1.96078431372549,117,125,7.43801652892562,2024-02-14
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,135,140,0.0,130,140,1.851851851851852,2024-02-14
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,95,100,10.256410256410255,2024-02-14
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,120,125,120,125,120,125,0.0,110,115,8.88888888888889,2024-02-14
মশুর ডাল (ছোট দানা),প্রতি কেজি,135,140,135,140,130,140,1.851851851851852,130,135,3.7735849056603774,2024-02-14
মুগ ডাল (মানভেদে),প্রতি কেজি,130,180,130,180,100,160,19.230769230769237,95,135,34.78260869565217,2024-02-14
এ্যাংকর ডাল,প্রতি কেজি,70,80,70,80,65,75,7.142857142857142,70,75,3.4482758620689653,2024-02-14
ছোলা (মানভেদে),প্রতি কেজি,95,110,95,110,90,95,10.81081081081081,85,90,17.142857142857142,2024-02-14
"আলু (নতুন, মানভেদে)",প্রতি কেজি,28,35,30,40,50,60,-42.72727272727273,20,25,40.0,2024-02-14
