name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,60,72,60,72,60,75,-2.2222222222222223,64,75,-5.035971223021583,2023-08-31
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,55,50,55,50,55,0.0,55,60,-8.695652173913043,2023-08-31
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,50,48,50,48,52,-2.0,54,56,-10.909090909090908,2023-08-31
আটা সাদা (খোলা),প্রতি কেজি,45,50,48,50,50,52,-6.862745098039216,50,55,-9.523809523809524,2023-08-31
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,60,55,60,55,60,0.0,55,58,1.7699115044247788,2023-08-31
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,60,65,-8.0,2023-08-31
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,70,65,70,65,70,0.0,65,75,-3.571428571428571,2023-08-31
সয়াবিন তেল (লুজ),প্রতি লিটার,155,160,155,160,160,165,-3.076923076923077,170,177,-9.221902017291066,2023-08-31
সয়াবিন তেল (বোতল),৫ লিটার,800,850,810,850,850,860,-3.508771929824561,900,945,-10.569105691056912,2023-08-31
সয়াবিন তেল (বোতল),১ লিটার,170,175,170,175,175,180,-2.8169014084507045,185,195,-9.210526315789473,2023-08-31
পাম অয়েল (লুজ),প্রতি লিটার,130,140,125,130,125,130,5.88235294117647,135,145,-3.571428571428571,2023-08-31
পাম অয়েল (সুপার),প্রতি লিটার,0,0,0,0,0,0,,150,155,-100.0,2023-08-31
মশুর ডাল (বড় দানা),প্রতি কেজি,95,100,95,100,90,100,2.631578947368421,105,110,-9.30232558139535,2023-08-31
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,110,115,4.444444444444445,120,125,-4.081632653061225,2023-08-31
মশুর ডাল (ছোট দানা),প্রতি কেজি,125,135,125,135,125,135,0.0,130,140,-3.7037037037037033,2023-08-31
মুগ ডাল (মানভেদে),প্রতি কেজি,95,135,95,135,95,135,0.0,95,135,0.0,2023-08-31
এ্যাংকর ডাল,প্রতি কেজি,70,75,70,75,70,75,0.0,60,70,11.538461538461538,2023-08-31
ছোলা (মানভেদে),প্রতি কেজি,75,80,75,80,75,85,-3.125,70,75,6.896551724137931,2023-08-31
আলু (মানভেদে),প্রতি কেজি,42,45,36,42,36,40,14.473684210526317,24,30,61.11111111111112,2023-08-31
পিঁয়াজ (দেশী),প্রতি কেজি,80,90,80,85,60,65,36.0,45,50,78.94736842105263,2023-08-31
পিঁয়াজ (আমদানি),প্রতি কেজি,65,75,70,75,40,45,64.70588235294117,40,45,64.70588235294117,2023-08-31
রসুন(দেশী) নতুন/পুরাতন),প্রতি কেজি,220,240,220,240,180,220,15.0,60,80,228.57142857142856,2023-08-31
রসুন (আমদানি),প্রতি কেজি,220,240,220,240,190,220,12.195121951219512,120,140,76.92307692307693,2023-08-31
