name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,58,68,56,68,58,66,1.6129032258064515,55,60,9.565217391304348,2021-12-02
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,48,55,48,55,48,56,-0.9615384615384616,50,55,-1.9047619047619049,2021-12-02
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,45,48,44,48,45,50,-2.1052631578947367,41,50,2.197802197802198,2021-12-02
আটা সাদা (খোলা),প্রতি কেজি,34,38,34,38,33,35,5.88235294117647,28,32,20.0,2021-12-02
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,40,45,40,45,38,40,8.974358974358974,30,32,37.096774193548384,2021-12-02
ময়দা (খোলা),প্রতি কেজি,45,48,44,45,42,45,6.896551724137931,35,38,27.3972602739726,2021-12-02
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,50,55,45,50,10.526315789473683,40,45,23.52941176470588,2021-12-02
সয়াবিন তেল (লুজ),প্রতি লিটার,140,145,140,145,138,145,0.7067137809187279,100,105,39.02439024390244,2021-12-02
সয়াবিন তেল (বোতল),৫ লিটার,700,760,700,750,690,750,1.3888888888888888,500,530,41.74757281553398,2021-12-02
সয়াবিন তেল (বোতল),১ লিটার,150,160,150,160,150,160,0.0,110,120,34.78260869565217,2021-12-02
পাম অয়েল (লুজ),প্রতি লিটার,130,135,130,135,128,135,0.7604562737642585,91,92,44.80874316939891,2021-12-02
পাম অয়েল (সুপার),প্রতি লিটার,135,138,135,140,132,138,1.1111111111111112,94,96,43.6842105263158,2021-12-02
মশুর ডাল (বড় দানা),প্রতি কেজি,85,90,85,90,85,90,0.0,65,70,29.629629629629623,2021-12-02
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,95,100,95,100,95,100,0.0,80,90,14.705882352941178,2021-12-02
মশুর ডাল (ছোট দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,100,110,2.380952380952381,2021-12-02
মুগ ডাল (মানভেদে),প্রতি কেজি,120,130,110,120,110,130,4.166666666666666,110,130,4.166666666666666,2021-12-02
এ্যাংকর ডাল,প্রতি কেজি,45,50,45,50,45,50,0.0,40,45,11.76470588235294,2021-12-02
ছোলা (মানভেদে),প্রতি কেজি,70,75,70,75,70,75,0.0,65,70,7.4074074074074066,2021-12-02
আলু (মানভেদে),প্রতি কেজি,20,25,22,25,20,25,0.0,40,45,-47.05882352941176,2021-12-02
পিঁয়াজ (দেশী),প্রতি কেজি,50,55,55,60,55,60,-8.695652173913043,60,65,-16.0,2021-12-02
পিঁয়াজ (আমদানি),প্রতি কেজি,40,45,45,50,40,55,-10.526315789473683,28,35,34.92063492063492,2021-12-02
রসুন (দেশী),প্রতি কেজি,30,60,30,70,50,80,-30.76923076923077,100,110,-57.14285714285714,2021-12-02
রসুন (আমদানি),প্রতি কেজি,120,140,110,130,110,130,8.333333333333332,70,90,62.5,2021-12-02
শুকনা মরিচ (দেশী),প্রতি কেজি,150,180,150,180,160,200,-8.333333333333332,240,260,-34.0,2021-12-02
শুকনা মরিচ (আমদানি),প্রতি কেজি,250,280,250,300,250,290,-1.851851851851852,260,280,-1.851851851851852,2021-12-02
হলুদ (দেশী),প্রতি কেজি,200,220,200,220,190,230,0.0,130,240,13.513513513513514,2021-12-02
হলুদ (আমদানি),প্রতি কেজি,150,180,160,180,150,180,0.0,140,250,-15.384615384615383,2021-12-02
আদা (দেশী) নতুন,প্রতি কেজি,80,100,100,140,80,120,-10.0,70,80,20.0,2021-12-02
আদা (আমদানি),প্রতি কেজি,60,120,60,130,80,130,-14.285714285714285,90,100,-5.263157894736842,2021-12-02
জিরা,প্রতি কেজি,300,420,320,400,300,400,2.857142857142857,300,400,2.857142857142857,2021-12-02
দারুচিনি,প্রতি কেজি,380,480,400,480,400,460,0.0,350,480,3.614457831325301,2021-12-02
লবঙ্গ,প্রতি কেজি,1000,1250,1000,1200,1000,1250,0.0,800,1000,25.0,2021-12-02
এলাচ(ছোট),প্রতি কেজি,2100,3200,2000,3000,2200,3200,-1.851851851851852,2400,3200,-5.357142857142857,2021-12-02
ধনে,প্রতি কেজি,110,120,120,130,110,130,-4.166666666666666,100,120,4.545454545454546,2021-12-02
তেজপাতা,প্রতি কেজি,150,200,110,200,150,200,0.0,100,120,59.09090909090909,2021-12-02
রুই,প্রতি কেজি,250,350,250,350,250,350,0.0,200,350,9.090909090909092,2021-12-02
ইলিশ,প্রতি কেজি,500,1300,500,1300,500,1300,0.0,500,1200,5.88235294117647,2021-12-02
গরু,প্রতি কেজি,580,600,580,600,580,600,0.0,550,590,3.508771929824561,2021-12-02
খাসী,প্রতি কেজি,800,850,800,850,800,850,0.0,750,850,3.125,2021-12-02
মুরগী(ব্রয়লার),প্রতি কেজি,140,150,140,150,155,165,-9.375,110,125,23.404255319148938,2021-12-02
মুরগী (দেশী),প্রতি কেজি,420,450,420,450,420,500,-5.434782608695652,400,450,2.3529411764705883,2021-12-02
ডানো,১ কেজি,650,680,650,680,650,680,0.0,590,630,9.01639344262295,2021-12-02
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,640,670,640,670,660,680,-2.238805970149253,570,620,10.084033613445378,2021-12-02
ফ্রেশ,১ কেজি,560,590,560,590,560,590,0.0,470,560,11.650485436893204,2021-12-02
মার্কস,১ কেজি,580,620,580,620,580,620,0.0,480,560,15.384615384615383,2021-12-02
চিনি,প্রতি কেজি,75,80,75,80,75,80,0.0,62,65,22.04724409448819,2021-12-02
খেজুর(সাধারণ মানের),প্রতি কেজি,150,350,150,350,150,350,0.0,150,350,0.0,2021-12-02
লবণ(প্যাঃ)আয়োডিনযুক্ত(মানভেদে),প্রতি কেজি,30,35,30,35,30,35,0.0,25,35,8.333333333333332,2021-12-02
ডিম (ফার্ম),প্রতি হালি,32,35,35,37,37,38,-10.666666666666668,28,32,11.666666666666666,2021-12-02
লেখার কাগজ(সাদা),প্রতি দিস্তা,20,25,20,25,20,25,0.0,18,25,4.651162790697675,2021-12-02
"এম,এস রড (৬০ গ্রেড)",প্রতি মেঃটন,77500,81500,79500,81500,75000,77500,4.2622950819672125,60500,63000,28.74493927125506,2021-12-02
"এম,এস রড( ৪০ গ্রেড)",প্রতি মেঃটন,75500,77500,77500,78500,73500,74500,3.3783783783783785,55500,59500,33.04347826086956,2021-12-02
