name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,58,68,58,68,58,68,0.0,58,65,2.4390243902439024,2021-12-26
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,56,48,55,48,55,2.912621359223301,53,58,-4.504504504504505,2021-12-26
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,45,48,45,48,44,48,1.0869565217391304,46,50,-3.125,2021-12-26
আটা সাদা (খোলা),প্রতি কেজি,34,40,34,38,34,38,2.7777777777777777,28,30,27.58620689655172,2021-12-26
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,40,45,40,45,40,45,0.0,30,33,34.92063492063492,2021-12-26
ময়দা (খোলা),প্রতি কেজি,45,50,45,50,43,45,7.954545454545454,34,35,37.68115942028986,2021-12-26
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,50,55,50,55,0.0,40,45,23.52941176470588,2021-12-26
সয়াবিন তেল (লুজ),প্রতি লিটার,140,145,140,145,140,145,0.0,104,107,35.07109004739337,2021-12-26
সয়াবিন তেল (বোতল),৫ লিটার,700,760,700,760,700,750,0.6896551724137931,530,580,31.53153153153153,2021-12-26
সয়াবিন তেল (বোতল),১ লিটার,150,160,150,160,150,160,0.0,115,125,29.166666666666668,2021-12-26
পাম অয়েল (লুজ),প্রতি লিটার,128,135,128,133,130,135,-0.7547169811320755,93,95,39.8936170212766,2021-12-26
পাম অয়েল (সুপার),প্রতি লিটার,134,138,133,135,135,140,-1.090909090909091,96,98,40.20618556701031,2021-12-26
মশুর ডাল (বড় দানা),প্রতি কেজি,88,90,85,90,85,90,1.7142857142857144,65,70,31.85185185185185,2021-12-26
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,97,100,95,100,95,100,1.0256410256410255,80,90,15.88235294117647,2021-12-26
মশুর ডাল (ছোট দানা),প্রতি কেজি,105,115,105,110,105,110,2.3255813953488373,100,110,4.761904761904762,2021-12-26
মুগ ডাল (মানভেদে),প্রতি কেজি,120,130,120,130,110,120,8.695652173913043,120,130,0.0,2021-12-26
এ্যাংকর ডাল,প্রতি কেজি,45,50,45,50,45,50,0.0,40,45,11.76470588235294,2021-12-26
ছোলা (মানভেদে),প্রতি কেজি,65,70,65,70,70,75,-6.896551724137931,70,80,-10.0,2021-12-26
