name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,60,75,60,70,62,75,-1.45985401459854,58,75,1.5037593984962403,2023-12-28
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,55,50,55,55,58,-7.079646017699115,52,60,-6.25,2023-12-28
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,50,48,50,50,52,-3.92156862745098,46,52,0.0,2023-12-28
আটা সাদা (খোলা),প্রতি কেজি,45,50,45,50,45,50,0.0,60,62,-22.131147540983605,2023-12-28
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,65,55,60,55,65,0.0,70,75,-17.24137931034483,2023-12-28
ময়দা (খোলা),প্রতি কেজি,60,70,60,70,65,70,-3.7037037037037033,68,72,-7.142857142857142,2023-12-28
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,75,65,75,70,75,-3.4482758620689653,80,85,-15.151515151515152,2023-12-28
সয়াবিন তেল (লুজ),প্রতি লিটার,155,160,155,160,150,155,3.278688524590164,170,180,-10.0,2023-12-28
সয়াবিন তেল (বোতল),৫ লিটার,810,845,810,845,790,820,2.7950310559006213,880,906,-7.334826427771556,2023-12-28
সয়াবিন তেল (বোতল),১ লিটার,170,173,170,175,165,170,2.388059701492537,187,190,-9.018567639257292,2023-12-28
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,125,130,0.0,117,125,5.371900826446281,2023-12-28
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,135,140,0.0,135,140,0.0,2023-12-28
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,100,105,4.878048780487805,2023-12-28
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,120,125,120,125,120,125,0.0,120,125,0.0,2023-12-28
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,130,135,0.0,135,140,-3.636363636363636,2023-12-28
মুগ ডাল (মানভেদে),প্রতি কেজি,95,135,95,135,95,135,0.0,95,135,0.0,2023-12-28
এ্যাংকর ডাল,প্রতি কেজি,65,75,70,75,70,75,-3.4482758620689653,65,75,0.0,2023-12-28
ছোলা (মানভেদে),প্রতি কেজি,90,95,85,95,85,90,5.714285714285714,85,90,5.714285714285714,2023-12-28
আলু (নতুন/পুরাতন)(মানভেদে),প্রতি কেজি,60,65,55,60,42,45,43.67816091954023,16,22,228.9473684210526,2023-12-28
পিঁয়াজ (নতুন) (দেশী),প্রতি কেজি,90,100,100,120,100,120,-13.636363636363637,35,50,123.52941176470588,2023-12-28
পিঁয়াজ (আমদানি),প্রতি কেজি,120,150,120,140,90,100,42.10526315789473,35,45,237.5,2023-12-28
রসুন(দেশী) নতুন/পুরাতন),প্রতি কেজি,220,260,220,240,200,230,11.627906976744184,70,80,220.00000000000003,2023-12-28
রসুন (আমদানি),প্রতি কেজি,200,240,190,220,180,200,15.789473684210526,110,120,91.30434782608695,2023-12-28
শুকনা মরিচ (দেশী),প্রতি কেজি,390,450,390,450,380,420,5.0,370,400,9.090909090909092,2023-12-28
শুকনা মরিচ (আমদানি),প্রতি কেজি,450,500,450,500,450,500,0.0,450,485,1.6042780748663104,2023-12-28
হলুদ (দেশী),প্রতি কেজি,280,350,280,350,300,350,-3.076923076923077,230,250,31.25,2023-12-28
হলুদ (আমদানি),প্রতি কেজি,200,300,200,300,200,300,0.0,190,220,21.951219512195124,2023-12-28
আদা (দেশী)(নতুন),প্রতি কেজি,250,280,250,300,250,260,3.92156862745098,120,150,96.29629629629628,2023-12-28
আদা (আমদানি),প্রতি কেজি,200,260,200,240,190,240,6.976744186046512,90,150,91.66666666666666,2023-12-28
জিরা,প্রতি কেজি,950,1100,950,1100,1020,1200,-7.657657657657657,500,570,91.58878504672896,2023-12-28
দারুচিনি,প্রতি কেজি,450,540,450,540,450,500,4.2105263157894735,430,520,4.2105263157894735,2023-12-28
লবঙ্গ,প্রতি কেজি,1500,1700,1500,1700,1500,1600,3.225806451612903,1320,1420,16.78832116788321,2023-12-28
