name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,70,80,68,80,68,80,1.351351351351351,60.0,70.0,15.384615384615383,2024-12-27
চাল (মাঝারী)পাইজাম/আটাশ,প্রতি কেজি,56,63,56,63,59,65,-4.032258064516129,50.0,55.0,13.333333333333334,2024-12-27
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,50,55,50,55,50,55,0.0,48.0,50.0,7.142857142857142,2024-12-27
আটা সাদা (খোলা),প্রতি কেজি,40,45,40,45,40,45,0.0,45.0,50.0,-10.526315789473683,2024-12-27
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,50,55,50,55,0.0,55.0,65.0,-12.5,2024-12-27
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,60.0,70.0,-11.538461538461538,2024-12-27
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,75,65,75,65,75,0.0,65.0,75.0,0.0,2024-12-27
সয়াবিন তেল (লুজ),প্রতি লিটার,163,165,163,165,165,168,-1.5015015015015014,155.0,160.0,4.126984126984127,2024-12-27
সয়াবিন তেল (বোতল),৫ লিটার,840,850,815,850,815,818,3.490508266993264,810.0,845.0,2.114803625377644,2024-12-27
সয়াবিন তেল (বোতল),2 লিটার,335,350,335,350,330,340,2.238805970149253,335.0,340.0,1.4814814814814816,2024-12-27
সয়াবিন তেল (বোতল),১ লিটার,168,175,167,175,167,170,1.7804154302670625,170.0,173.0,0.0,2024-12-27
পাম অয়েল (লুজ),প্রতি লিটার,155,157,156,157,157,159,-1.2658227848101269,125.0,130.0,22.35294117647059,2024-12-27
পাম অয়েল (সুপার),প্রতি লিটার,159,161,159,161,161,162,-0.9287925696594428,135.0,140.0,16.363636363636363,2024-12-27
রাইস ব্রান তেল (বোতল),৫ লিটার,980,1030,980,1030,980,1030,0.0,,,,2024-12-27
রাইস ব্রান তেল (বোতল),১ লিটার,185,200,185,200,200,210,-6.097560975609756,,,,2024-12-27
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,105.0,110.0,0.0,2024-12-27
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,110,120,110,120,110,120,0.0,120.0,125.0,-6.122448979591836,2024-12-27
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,130,135,0.0,130.0,135.0,0.0,2024-12-27
মুগ ডাল (মানভেদে),প্রতি কেজি,150,180,150,180,150,180,0.0,95.0,135.0,43.47826086956522,2024-12-27
এ্যাংকর ডাল,প্রতি কেজি,70,80,70,80,75,80,-3.225806451612903,65.0,75.0,7.142857142857142,2024-12-27
ছোলা (মানভেদে),প্রতি কেজি,125,135,125,135,125,135,0.0,90.0,95.0,40.54054054054054,2024-12-27
আলু (মানভেদে),প্রতি কেজি,50,70,60,80,75,80,-22.58064516129032,60.0,65.0,-4.0,2024-12-27
পিঁয়াজ (দেশী),প্রতি কেজি,50,110,80,120,115,130,-34.69387755102041,80.0,90.0,-5.88235294117647,2024-12-27
পিঁয়াজ (আমদানি),প্রতি কেজি,50,85,70,90,80,100,-25.0,100.0,150.0,-46.0,2024-12-27
রসুন (দেশী),প্রতি কেজি,230,280,230,280,230,280,0.0,220.0,240.0,10.869565217391305,2024-12-27
রসুন (আমদানি),প্রতি কেজি,220,240,220,240,220,250,-2.127659574468085,200.0,220.0,9.523809523809524,2024-12-27
শুকনা মরিচ (দেশী),প্রতি কেজি,250,320,250,320,250,350,-5.0,390.0,450.0,-32.142857142857146,2024-12-27
শুকনা মরিচ (আমদানি),প্রতি কেজি,350,450,350,450,350,450,0.0,450.0,500.0,-15.789473684210526,2024-12-27
হলুদ (দেশী),প্রতি কেজি,350,400,350,400,320,400,4.166666666666666,280.0,350.0,19.047619047619047,2024-12-27
হলুদ (আমদানি),প্রতি কেজি,280,320,280,320,250,300,9.090909090909092,200.0,300.0,20.0,2024-12-27
আদা (দেশী),প্রতি কেজি,450,500,450,500,450,500,0.0,250.0,280.0,79.24528301886792,2024-12-27
আদা (আমদানি),প্রতি কেজি,110,260,110,270,120,300,-11.904761904761903,200.0,260.0,-19.565217391304348,2024-12-27
জিরা,প্রতি কেজি,650,750,650,750,630,800,-2.097902097902098,950.0,1100.0,-31.70731707317073,2024-12-27
দারুচিনি,প্রতি কেজি,480,550,480,550,470,580,-1.9047619047619049,450.0,540.0,4.040404040404041,2024-12-27
লবঙ্গ,প্রতি কেজি,1400,1600,1400,1600,1300,1600,3.4482758620689653,1500.0,1700.0,-6.25,2024-12-27
এলাচ(ছোট),প্রতি কেজি,3400,4400,3400,4400,3400,4250,1.96078431372549,1800.0,2600.0,77.27272727272727,2024-12-27
ধনে,প্রতি কেজি,230,280,230,280,230,300,-3.7735849056603774,230.0,260.0,4.081632653061225,2024-12-27
তেজপাতা,প্রতি কেজি,160,220,160,220,120,220,11.76470588235294,150.0,200.0,8.571428571428571,2024-12-27
রুই,প্রতি কেজি,250,450,250,450,300,450,-6.666666666666667,280.0,450.0,-4.10958904109589,2024-12-27
ইলিশ,প্রতি কেজি,700,1600,700,1600,600,1600,4.545454545454546,650.0,1350.0,15.0,2024-12-27
গরু,প্রতি কেজি,750,800,750,800,750,800,0.0,600.0,700.0,19.230769230769237,2024-12-27
খাসী,প্রতি কেজি,950,1150,950,1150,950,1150,0.0,900.0,1000.0,10.526315789473683,2024-12-27
মুরগী(ব্রয়লার),প্রতি কেজি,190,210,170,200,175,200,6.666666666666667,175.0,185.0,11.11111111111111,2024-12-27
মুরগী (দেশী),প্রতি কেজি,480,600,480,600,480,600,0.0,500.0,600.0,-1.818181818181818,2024-12-27
ডানো,১ কেজি,740,820,740,820,740,820,0.0,790.0,840.0,-4.294478527607362,2024-12-27
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,800,840,800,840,800,840,0.0,790.0,830.0,1.2345679012345678,2024-12-27
ফ্রেশ,১ কেজি,775,820,775,820,775,820,0.0,780.0,840.0,-1.5432098765432098,2024-12-27
মার্কস,১ কেজি,780,830,780,830,780,830,0.0,780.0,830.0,0.0,2024-12-27
