name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,70,85,72,85,70,85,0.0,75,85,-3.125,2026-07-10
চাল (মাঝারী)পাইজাম/আটাশ,প্রতি কেজি,55,68,55,68,54,68,0.819672131147541,60,70,-5.384615384615385,2026-07-10
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,48,60,50,60,50,60,-1.818181818181818,55,60,-6.086956521739131,2026-07-10
আটা সাদা (খোলা),প্রতি কেজি,40,45,45,46,45,46,-6.593406593406594,40,45,0.0,2026-07-10
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,60,55,60,55,60,0.0,50,55,9.523809523809524,2026-07-10
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,56,60,-0.8620689655172413,2026-07-10
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,60,75,60,75,60,75,0.0,65,70,0.0,2026-07-10
সয়াবিন তেল (লুজ),প্রতি লিটার,188,195,186,192,186,195,0.5249343832020997,160,170,16.060606060606062,2026-07-10
সয়াবিন তেল (বোতল),৫ লিটার,975,975,975,975,975,975,0.0,910,920,6.557377049180328,2026-07-10
সয়াবিন তেল (বোতল),2 লিটার,398,398,398,398,398,398,0.0,370,378,6.417112299465241,2026-07-10
সয়াবিন তেল (বোতল),১ লিটার,199,199,199,199,199,199,0.0,185,190,6.133333333333333,2026-07-10
পাম অয়েল (লুজ),প্রতি লিটার,165,170,165,170,165,170,0.0,148,155,10.56105610561056,2026-07-10
সুপার পাম অয়েল (লুজ),প্রতি লিটার,170,175,170,175,170,175,0.0,152,160,10.576923076923077,2026-07-10
রাইস ব্রান তেল (বোতল),৫ লিটার,1030,1140,1030,1140,1030,1140,0.0,1030,1080,2.843601895734597,2026-07-10
মশুর ডাল (বড় দানা),প্রতি কেজি,90,105,90,105,90,105,0.0,100,110,-7.142857142857142,2026-07-10
মশুর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,115,120,0.0,110,120,2.1739130434782608,2026-07-10
মশুর ডাল (ছোট দানা),প্রতি কেজি,150,160,150,160,150,160,0.0,125,135,19.230769230769237,2026-07-10
মুগ ডাল (মানভেদে),প্রতি কেজি,130,170,130,170,130,170,0.0,125,180,-1.639344262295082,2026-07-10
এ্যাংকর ডাল,প্রতি কেজি,60,75,60,75,60,75,0.0,70,80,-10.0,2026-07-10
ছোলা (মানভেদে),প্রতি কেজি,90,100,90,100,90,100,0.0,90,110,-5.0,2026-07-10
