name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,55,62,55,64,60,65,-6.4,55,65,-2.5,2021-05-20
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,48,52,50,55,52,60,-10.714285714285714,45,50,5.263157894736842,2021-05-20
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,44,47,44,48,46,52,-7.142857142857142,38,48,5.813953488372093,2021-05-20
আটা সাদা (খোলা),প্রতি কেজি,30,32,30,32,30,32,0.0,28,32,3.333333333333333,2021-05-20
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,32,35,32,35,32,35,0.0,35,42,-12.987012987012983,2021-05-20
ময়দা (খোলা),প্রতি কেজি,35,36,35,36,35,38,-2.73972602739726,35,45,-11.25,2021-05-20
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,42,45,42,45,40,45,2.3529411764705883,45,50,-8.421052631578947,2021-05-20
সয়াবিন তেল (লুজ),প্রতি লিটার,120,125,118,122,120,125,0.0,88,92,36.11111111111111,2021-05-20
সয়াবিন তেল (বোতল),৫ লিটার,635,670,635,660,640,660,0.3846153846153846,470,520,31.818181818181817,2021-05-20
সয়াবিন তেল (বোতল),১ লিটার,135,145,135,140,135,140,1.818181818181818,105,110,30.23255813953488,2021-05-20
পাম অয়েল (লুজ),প্রতি লিটার,107,110,107,110,106,110,0.4629629629629629,65,70,60.74074074074074,2021-05-20
পাম অয়েল (সুপার),প্রতি লিটার,110,115,110,115,111,113,0.4464285714285714,75,80,45.16129032258064,2021-05-20
মশুর ডাল (বড় দানা),প্রতি কেজি,65,75,70,75,70,72,-1.4084507042253522,80,90,-17.647058823529413,2021-05-20
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,80,90,80,90,80,90,0.0,100,110,-19.047619047619047,2021-05-20
মশুর ডাল (ছোট দানা),প্রতি কেজি,100,110,100,110,100,110,0.0,120,130,-16.0,2021-05-20
মুগ ডাল (মানভেদে),প্রতি কেজি,110,140,110,140,110,140,0.0,90,130,13.636363636363637,2021-05-20
এ্যাংকর ডাল,প্রতি কেজি,40,50,40,48,44,45,1.1235955056179776,40,45,5.88235294117647,2021-05-20
ছোলা (মানভেদে),প্রতি কেজি,65,70,60,70,65,75,-3.571428571428571,70,75,-6.896551724137931,2021-05-20
আলু (মানভেদে),প্রতি কেজি,18,20,18,20,20,22,-9.523809523809524,20,25,-15.555555555555555,2021-05-20
পিঁয়াজ (দেশী),প্রতি কেজি,40,45,38,45,38,40,8.974358974358974,40,45,0.0,2021-05-20
পিঁয়াজ (আমদানি),প্রতি কেজি,35,40,32,40,30,35,15.384615384615383,35,45,-6.25,2021-05-20
রসুন (দেশী) নতুন/পুরাতন,প্রতি কেজি,70,90,60,80,70,90,0.0,100,120,-27.27272727272727,2021-05-20
রসুন (আমদানি),প্রতি কেজি,110,140,100,125,110,120,8.695652173913043,120,130,0.0,2021-05-20
শুকনা মরিচ (দেশী),প্রতি কেজি,180,200,180,240,220,280,-24.0,250,300,-30.909090909090907,2021-05-20
শুকনা মরিচ (আমদানি),প্রতি কেজি,240,280,240,280,240,300,-3.7037037037037033,300,400,-25.71428571428571,2021-05-20
হলুদ (দেশী),প্রতি কেজি,150,200,150,200,150,160,12.903225806451612,150,180,6.0606060606060606,2021-05-20
হলুদ (আমদানি),প্রতি কেজি,140,180,140,180,160,170,-3.0303030303030303,170,250,-23.809523809523807,2021-05-20
আদা (দেশী),প্রতি কেজি,100,140,90,140,100,120,9.090909090909092,180,200,-36.84210526315789,2021-05-20
আদা (আমদানি),প্রতি কেজি,80,135,80,120,140,150,-25.86206896551724,130,150,-23.214285714285715,2021-05-20
জিরা,প্রতি কেজি,320,400,340,400,320,360,5.88235294117647,450,550,-28.000000000000004,2021-05-20
দারুচিনি,প্রতি কেজি,350,450,360,450,360,400,5.263157894736842,400,480,-9.090909090909092,2021-05-20
লবঙ্গ,প্রতি কেজি,850,900,800,1000,800,900,2.941176470588235,980,1100,-15.865384615384617,2021-05-20
এলাচ(ছোট),প্রতি কেজি,2350,3500,2400,3500,2400,3500,-0.847457627118644,3600,4200,-25.0,2021-05-20
ধনে,প্রতি কেজি,110,140,110,140,110,130,4.166666666666666,130,140,-7.4074074074074066,2021-05-20
তেজপাতা,প্রতি কেজি,120,150,120,150,110,140,8.0,120,150,0.0,2021-05-20
রুই,প্রতি কেজি,250,350,200,350,250,300,9.090909090909092,300,350,-7.6923076923076925,2021-05-20
ইলিশ,প্রতি কেজি,800,1400,900,1400,900,1400,-4.3478260869565215,1000,1200,0.0,2021-05-20
গরু,প্রতি কেজি,580,600,580,600,570,600,0.8547008547008548,580,600,0.0,2021-05-20
খাসী,প্রতি কেজি,800,900,800,900,800,850,3.0303030303030303,800,900,0.0,2021-05-20
মুরগী(ব্রয়লার),প্রতি কেজি,125,135,140,155,150,160,-16.129032258064516,130,150,-7.142857142857142,2021-05-20
মুরগী (দেশী),প্রতি কেজি,450,550,450,550,460,500,4.166666666666666,450,500,5.263157894736842,2021-05-20
ডানো,১ কেজি,630,640,620,650,600,650,1.6,600,630,3.252032520325204,2021-05-20
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,630,650,630,650,630,645,0.392156862745098,600,620,4.918032786885246,2021-05-20
ফ্রেশ,১ কেজি,540,570,540,560,540,570,0.0,540,550,1.834862385321101,2021-05-20
মার্কস,১ কেজি,540,580,540,580,540,570,0.9009009009009008,550,560,0.9009009009009008,2021-05-20
চিনি,প্রতি কেজি,70,75,68,70,68,70,5.072463768115942,65,70,7.4074074074074066,2021-05-20
খেজুর(সাধারণ মানের),প্রতি কেজি,150,350,150,350,150,350,0.0,220,300,-3.8461538461538463,2021-05-20
লবণ(প্যাঃ)আয়োডিনযুক্ত(মানভেদে),প্রতি কেজি,30,35,25,35,25,35,8.333333333333332,25,35,8.333333333333332,2021-05-20
ডিম (ফার্ম),প্রতি হালি,30,32,28,32,30,32,0.0,26,28,14.814814814814811,2021-05-20
লেখার কাগজ(সাদা),প্রতি দিস্তা,18,25,18,25,18,25,0.0,20,25,-4.444444444444445,2021-05-20
"এম,এস রড (৬০ গ্রেড)",প্রতি মেঃটন,65000,69600,66000,69500,69000,71600,-4.267425320056899,58000,61000,13.109243697478991,2021-05-20
"এম,এস রড( ৪০ গ্রেড)",প্রতি মেঃটন,61500,65000,61500,65000,65500,68000,-5.243445692883896,54000,57500,13.452914798206278,2021-05-20
