name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,64,80,64,80,60,78,4.3478260869565215,60.0,72.0,9.090909090909092,2024-09-08
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,55,60,55,60,54,58,2.6785714285714284,50.0,55.0,9.523809523809524,2024-09-08
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,52,55,52,55,50,54,2.8846153846153846,48.0,50.0,9.183673469387756,2024-09-08
আটা সাদা (খোলা),প্রতি কেজি,38,45,40,45,40,45,-2.3529411764705883,45.0,50.0,-12.63157894736842,2024-09-08
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,50,55,50,55,0.0,54.0,60.0,-7.894736842105263,2024-09-08
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,55.0,60.0,0.0,2024-09-08
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,70,65,70,65,70,0.0,65.0,70.0,0.0,2024-09-08
সয়াবিন তেল (লুজ),প্রতি লিটার,148,158,145,152,145,155,2.0,155.0,160.0,-2.857142857142857,2024-09-08
সয়াবিন তেল (বোতল),৫ লিটার,780,810,780,810,780,800,0.6329113924050633,800.0,850.0,-3.636363636363636,2024-09-08
সয়াবিন তেল (বোতল),2 লিটার,325,330,325,330,325,330,0.0,335.0,340.0,-2.9629629629629632,2024-09-08
সয়াবিন তেল (বোতল),১ লিটার,165,167,165,167,165,167,0.0,170.0,175.0,-3.768115942028986,2024-09-08
পাম অয়েল (লুজ),প্রতি লিটার,130,135,130,135,125,135,1.9230769230769231,130.0,140.0,-1.851851851851852,2024-09-08
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,135,140,0.0,0.0,0.0,,2024-09-08
রাইস ব্রান তেল (বোতল),৫ লিটার,880,900,880,900,880,900,0.0,,,,2024-09-08
রাইস ব্রান তেল (বোতল),১ লিটার,180,190,180,190,180,190,0.0,,,,2024-09-08
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,95.0,100.0,10.256410256410255,2024-09-08
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,120,125,-4.081632653061225,115.0,120.0,0.0,2024-09-08
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,130,135,0.0,125.0,135.0,1.9230769230769231,2024-09-08
মুগ ডাল (মানভেদে),প্রতি কেজি,160,185,160,185,160,185,0.0,95.0,135.0,50.0,2024-09-08
এ্যাংকর ডাল,প্রতি কেজি,80,90,80,90,80,90,0.0,70.0,75.0,17.24137931034483,2024-09-08
ছোলা (মানভেদে),প্রতি কেজি,110,120,110,120,110,120,0.0,75.0,80.0,48.38709677419355,2024-09-08
আলু (মানভেদে),প্রতি কেজি,52,60,52,60,55,60,-2.608695652173913,42.0,45.0,28.735632183908045,2024-09-08
পিঁয়াজ (দেশী),প্রতি কেজি,110,120,110,120,110,120,0.0,80.0,90.0,35.294117647058826,2024-09-08
পিঁয়াজ (আমদানি),প্রতি কেজি,100,115,100,110,100,110,2.380952380952381,65.0,70.0,59.25925925925925,2024-09-08
রসুন (দেশী),প্রতি কেজি,200,240,200,230,200,220,4.761904761904762,220.0,250.0,-6.382978723404255,2024-09-08
রসুন (আমদানি),প্রতি কেজি,200,220,200,220,200,230,-2.3255813953488373,220.0,240.0,-8.695652173913043,2024-09-08
শুকনা মরিচ (দেশী),প্রতি কেজি,300,350,320,400,320,400,-9.722222222222223,380.0,420.0,-18.75,2024-09-08
শুকনা মরিচ (আমদানি),প্রতি কেজি,400,450,420,500,420,500,-7.608695652173914,450.0,500.0,-10.526315789473683,2024-09-08
হলুদ (দেশী),প্রতি কেজি,350,400,350,400,350,400,0.0,300.0,400.0,7.142857142857142,2024-09-08
হলুদ (আমদানি),প্রতি কেজি,300,350,300,350,300,350,0.0,200.0,280.0,35.41666666666667,2024-09-08
আদা (দেশী),প্রতি কেজি,450,500,450,500,450,500,0.0,420.0,450.0,9.195402298850574,2024-09-08
আদা (আমদানি),প্রতি কেজি,200,270,200,260,240,280,-9.615384615384617,200.0,250.0,4.444444444444445,2024-09-08
জিরা,প্রতি কেজি,650,750,650,750,680,850,-8.49673202614379,1100.0,1150.0,-37.77777777777778,2024-09-08
দারুচিনি,প্রতি কেজি,480,500,480,550,520,600,-12.5,450.0,500.0,3.1578947368421053,2024-09-08
