name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,65,76,65,76,62,75,2.9197080291970803,60,75,4.444444444444445,2024-04-20
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,55,58,55,58,52,56,4.62962962962963,50,56,6.60377358490566,2024-04-20
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,50,52,50,52,48,52,2.0,45,50,7.368421052631578,2024-04-20
আটা সাদা (খোলা),প্রতি কেজি,45,50,42,45,45,50,0.0,55,58,-15.929203539823009,2024-04-20
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,60,52,55,55,60,0.0,62,65,-9.448818897637794,2024-04-20
ময়দা (খোলা),প্রতি কেজি,60,65,60,65,60,65,0.0,58,62,4.166666666666666,2024-04-20
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,68,70,65,70,70,75,-4.827586206896552,70,75,-4.827586206896552,2024-04-20
সয়াবিন তেল (লুজ),প্রতি লিটার,150,155,145,150,148,155,0.6600660066006601,168,175,-11.078717201166182,2024-04-20
সয়াবিন তেল (বোতল),৫ লিটার,780,800,770,800,780,800,0.0,870,890,-10.227272727272728,2024-04-20
সয়াবিন তেল (বোতল),১ লিটার,160,162,160,162,160,163,-0.3095975232198142,180,185,-11.78082191780822,2024-04-20
পাম অয়েল (লুজ),প্রতি লিটার,130,135,125,130,125,130,3.92156862745098,125,130,3.92156862745098,2024-04-20
পাম অয়েল (সুপার),প্রতি লিটার,135,145,130,140,130,140,3.7037037037037033,134,140,2.18978102189781,2024-04-20
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,95,100,10.256410256410255,2024-04-20
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,115,120,0.0,110,115,4.444444444444445,2024-04-20
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,140,130,140,135,140,-1.818181818181818,130,140,0.0,2024-04-20
মুগ ডাল (মানভেদে),প্রতি কেজি,170,185,170,185,150,170,10.9375,95,135,54.34782608695652,2024-04-20
এ্যাংকর ডাল,প্রতি কেজি,80,90,80,90,80,90,0.0,70,75,17.24137931034483,2024-04-20
