name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,62,75,62,75,60,75,1.4814814814814816,62,75,0.0,2023-12-11
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,52,56,55,58,52,56,0.0,55,60,-6.086956521739131,2023-12-11
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,50,52,50,53,48,52,2.0,47,52,3.0303030303030303,2023-12-11
আটা সাদা (খোলা),প্রতি কেজি,45,50,45,50,44,46,5.555555555555555,60,65,-24.0,2023-12-11
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,65,55,65,50,55,14.285714285714285,70,75,-17.24137931034483,2023-12-11
ময়দা (খোলা),প্রতি কেজি,60,65,65,70,58,60,5.932203389830509,70,75,-13.79310344827586,2023-12-11
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,70,75,70,75,60,65,16.0,80,84,-11.585365853658535,2023-12-11
সয়াবিন তেল (লুজ),প্রতি লিটার,150,158,150,155,145,150,4.406779661016949,175,180,-13.239436619718308,2023-12-11
সয়াবিন তেল (বোতল),৫ লিটার,790,825,790,820,770,800,2.8662420382165608,890,925,-11.019283746556477,2023-12-11
সয়াবিন তেল (বোতল),১ লিটার,168,170,165,170,165,168,1.5015015015015014,180,190,-8.64864864864865,2023-12-11
পাম অয়েল (লুজ),প্রতি লিটার,125,130,125,130,120,125,4.081632653061225,120,130,2.0,2023-12-11
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,130,135,3.7735849056603774,140,145,-3.508771929824561,2023-12-11
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,100,110,2.380952380952381,2023-12-11
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,120,125,120,125,120,125,0.0,125,130,-3.92156862745098,2023-12-11
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,130,135,0.0,135,140,-3.636363636363636,2023-12-11
মুগ ডাল (মানভেদে),প্রতি কেজি,95,135,95,135,95,135,0.0,95,135,0.0,2023-12-11
এ্যাংকর ডাল,প্রতি কেজি,70,75,70,75,70,75,0.0,65,75,3.571428571428571,2023-12-11
ছোলা (মানভেদে),প্রতি কেজি,85,90,85,90,80,90,2.941176470588235,80,85,6.0606060606060606,2023-12-11
আলু (মানভেদে),প্রতি কেজি,50,55,48,55,45,50,10.526315789473683,22,35,84.21052631578947,2023-12-11
পিঁয়াজ (নতুন/পুরাতন) (দেশী),প্রতি কেজি,120,180,120,135,125,130,17.647058823529413,40,50,233.33333333333331,2023-12-11
পিঁয়াজ (আমদানি),প্রতি কেজি,150,160,80,120,100,110,47.61904761904761,40,45,264.7058823529412,2023-12-11
রসুন(দেশী) নতুন/পুরাতন),প্রতি কেজি,200,250,200,240,200,220,7.142857142857142,70,80,200.0,2023-12-11
রসুন (আমদানি),প্রতি কেজি,190,220,180,200,170,180,17.142857142857142,110,120,78.26086956521739,2023-12-11
শুকনা মরিচ (দেশী),প্রতি কেজি,380,420,380,420,380,420,0.0,370,400,3.896103896103896,2023-12-11
শুকনা মরিচ (আমদানি),প্রতি কেজি,450,500,450,500,450,500,0.0,450,485,1.6042780748663104,2023-12-11
হলুদ (দেশী),প্রতি কেজি,300,350,300,350,300,350,0.0,210,250,41.30434782608695,2023-12-11
হলুদ (আমদানি),প্রতি কেজি,200,300,200,300,200,300,0.0,180,230,21.951219512195124,2023-12-11
আদা (দেশী)(নতুন),প্রতি কেজি,250,300,250,300,250,300,0.0,120,150,103.7037037037037,2023-12-11
আদা (আমদানি),প্রতি কেজি,200,240,190,240,190,250,0.0,100,160,69.23076923076923,2023-12-11
জিরা,প্রতি কেজি,1000,1100,1040,1200,1020,1180,-4.545454545454546,500,570,96.26168224299066,2023-12-11
দারুচিনি,প্রতি কেজি,450,540,450,500,450,500,4.2105263157894735,420,520,5.319148936170213,2023-12-11
লবঙ্গ,প্রতি কেজি,1500,1600,1500,1600,1500,1600,0.0,1300,1400,14.814814814814811,2023-12-11
এলাচ(ছোট),প্রতি কেজি,1800,2600,1800,2700,1800,2600,0.0,1600,2800,0.0,2023-12-11
ধনে,প্রতি কেজি,200,260,200,260,200,260,0.0,120,160,64.28571428571429,2023-12-11
তেজপাতা,প্রতি কেজি,150,200,150,200,150,200,0.0,130,200,6.0606060606060606,2023-12-11
রুই,প্রতি কেজি,280,450,280,450,350,450,-8.75,350,450,-8.75,2023-12-11
ইলিশ,প্রতি কেজি,650,1350,650,1350,600,1300,5.263157894736842,600,1300,5.263157894736842,2023-12-11
গরু,প্রতি কেজি,650,700,600,700,750,780,-11.76470588235294,660,700,-0.7352941176470588,2023-12-11
খাসী,প্রতি কেজি,950,1100,950,1100,1000,1100,-2.380952380952381,850,950,13.88888888888889,2023-12-11
মুরগী(ব্রয়লার),প্রতি কেজি,170,185,165,170,165,175,4.411764705882353,140,150,22.41379310344828,2023-12-11
মুরগী (দেশী),প্রতি কেজি,500,600,500,600,520,600,-1.7857142857142856,450,550,10.0,2023-12-11
ডানো,১ কেজি,790,840,790,840,800,840,-0.6097560975609756,840,900,-6.321839080459771,2023-12-11
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,790,830,790,830,790,840,-0.6134969325153374,820,850,-2.9940119760479043,2023-12-11
ফ্রেশ,১ কেজি,780,840,780,840,790,840,-0.6134969325153374,800,840,-1.2195121951219512,2023-12-11
মার্কস,১ কেজি,780,830,780,830,790,830,-0.6172839506172839,800,820,-0.6172839506172839,2023-12-11
চিনি,প্রতি কেজি,140,150,140,150,140,145,1.7543859649122806,110,115,28.88888888888889,2023-12-11
খেজুর(সাধারণ মানের),প্রতি কেজি,250,450,250,450,250,450,0.0,150,450,16.666666666666664,2023-12-11
লবণ(প্যাঃ)আয়োডিনযুক্ত(মানভেদে),প্রতি কেজি,40,42,40,42,40,42,0.0,38,42,2.5,2023-12-11
ডিম (ফার্ম),প্রতি হালি,42,43,38,42,43,45,-3.4090909090909087,36,38,14.864864864864863,2023-12-11
লেখার কাগজ(সাদা),প্রতি দিস্তা,30,35,30,35,30,35,0.0,25,30,18.181818181818183,2023-12-11
"এম,এস রড (৬০ গ্রেড)",প্রতি মেঃটন,92500,99500,92500,99500,89000,98500,2.4,85500,93500,7.262569832402235,2023-12-11
"এম,এস রড( ৪০ গ্রেড)",প্রতি মেঃটন,87000,90000,87000,90000,80000,85000,7.272727272727272,83000,85000,5.357142857142857,2023-12-11
