name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,58,66,55,66,55,65,3.333333333333333,52,60,10.714285714285714,2021-10-22
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,50,56,50,56,48,55,2.912621359223301,48,52,6.0,2021-10-22
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,45,48,45,48,45,48,0.0,45,48,0.0,2021-10-22
আটা সাদা (খোলা),প্রতি কেজি,33,35,34,35,30,32,9.67741935483871,28,30,17.24137931034483,2021-10-22
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,35,40,35,40,35,40,0.0,30,35,15.384615384615383,2021-10-22
ময়দা (খোলা),প্রতি কেজি,40,45,44,46,35,40,13.333333333333334,32,35,26.86567164179105,2021-10-22
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,45,50,45,50,44,50,1.0638297872340423,40,45,11.76470588235294,2021-10-22
সয়াবিন তেল (লুজ),প্রতি লিটার,140,145,135,140,130,135,7.547169811320755,92,97,50.79365079365079,2021-10-22
সয়াবিন তেল (বোতল),৫ লিটার,680,740,680,720,660,715,3.272727272727273,470,520,43.43434343434344,2021-10-22
সয়াবিন তেল (বোতল),১ লিটার,150,155,145,155,140,150,5.172413793103448,100,110,45.23809523809524,2021-10-22
পাম অয়েল (লুজ),প্রতি লিটার,130,132,125,130,120,128,5.64516129032258,82,84,57.831325301204814,2021-10-22
পাম অয়েল (সুপার),প্রতি লিটার,130,135,130,135,125,130,3.92156862745098,84,90,52.29885057471264,2021-10-22
মশুর ডাল (বড় দানা),প্রতি কেজি,88,90,88,90,85,90,1.7142857142857144,70,75,22.75862068965517,2021-10-22
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,98,100,98,100,95,100,1.5384615384615383,80,90,16.470588235294116,2021-10-22
মশুর ডাল (ছোট দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,105,110,0.0,2021-10-22
মুগ ডাল (মানভেদে),প্রতি কেজি,110,130,110,130,110,140,-4.0,115,130,-2.0408163265306123,2021-10-22
এ্যাংকর ডাল,প্রতি কেজি,45,50,45,50,40,45,11.76470588235294,40,45,11.76470588235294,2021-10-22
ছোলা (মানভেদে),প্রতি কেজি,70,75,70,75,70,75,0.0,75,80,-6.451612903225806,2021-10-22
আলু (মানভেদে),প্রতি কেজি,16,20,16,20,18,22,-10.0,40,45,-57.647058823529406,2021-10-22
পিঁয়াজ (দেশী),প্রতি কেজি,58,65,60,70,42,45,41.37931034482759,80,90,-27.647058823529413,2021-10-22
পিঁয়াজ (আমদানি),প্রতি কেজি,50,60,55,60,35,40,46.66666666666666,60,75,-18.51851851851852,2021-10-22
রসুন (দেশী),প্রতি কেজি,50,75,60,80,50,70,4.166666666666666,100,120,-43.18181818181818,2021-10-22
রসুন (আমদানি),প্রতি কেজি,110,130,110,130,90,110,20.0,90,100,26.31578947368421,2021-10-22
শুকনা মরিচ (দেশী),প্রতি কেজি,170,180,150,200,150,200,0.0,220,260,-27.08333333333333,2021-10-22
শুকনা মরিচ (আমদানি),প্রতি কেজি,250,300,250,300,240,300,1.851851851851852,240,280,5.769230769230769,2021-10-22
হলুদ (দেশী),প্রতি কেজি,200,240,220,240,200,250,-2.2222222222222223,140,160,46.66666666666666,2021-10-22
হলুদ (আমদানি),প্রতি কেজি,150,180,150,180,150,180,0.0,170,220,-15.384615384615383,2021-10-22
আদা (দেশী),প্রতি কেজি,120,160,170,190,180,200,-26.31578947368421,100,160,7.6923076923076925,2021-10-22
আদা (আমদানি),প্রতি কেজি,80,140,80,150,90,120,4.761904761904762,240,260,-56.00000000000001,2021-10-22
জিরা,প্রতি কেজি,320,400,300,400,300,400,2.857142857142857,280,380,9.090909090909092,2021-10-22
দারুচিনি,প্রতি কেজি,390,450,380,450,380,450,1.2048192771084338,400,480,-4.545454545454546,2021-10-22
লবঙ্গ,প্রতি কেজি,1000,1250,1000,1250,1000,1100,7.142857142857142,700,900,40.625,2021-10-22
এলাচ(ছোট),প্রতি কেজি,2200,3200,2300,3300,2100,3200,1.8867924528301887,2600,3200,-6.896551724137931,2021-10-22
ধনে,প্রতি কেজি,110,130,110,140,110,130,0.0,100,150,-4.0,2021-10-22
তেজপাতা,প্রতি কেজি,150,200,150,200,150,200,0.0,100,140,45.83333333333333,2021-10-22
রুই,প্রতি কেজি,250,350,250,350,250,350,0.0,250,350,0.0,2021-10-22
ইলিশ,প্রতি কেজি,0,0,0,0,500,1200,-100.0,500,900,-100.0,2021-10-22
গরু,প্রতি কেজি,580,600,580,600,560,600,1.7241379310344829,550,580,4.424778761061947,2021-10-22
খাসী,প্রতি কেজি,750,850,750,850,750,850,0.0,750,850,0.0,2021-10-22
মুরগী(ব্রয়লার),প্রতি কেজি,180,185,165,175,150,160,17.741935483870968,125,135,40.38461538461539,2021-10-22
মুরগী (দেশী),প্রতি কেজি,450,500,450,500,420,500,3.260869565217391,450,500,0.0,2021-10-22
ডানো,১ কেজি,650,680,650,680,640,660,2.307692307692308,620,630,6.4,2021-10-22
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,660,680,660,680,650,670,1.5151515151515151,570,620,12.605042016806722,2021-10-22
ফ্রেশ,১ কেজি,560,590,560,590,565,580,0.4366812227074235,540,550,5.504587155963304,2021-10-22
মার্কস,১ কেজি,580,620,580,620,570,590,3.4482758620689653,540,550,10.091743119266056,2021-10-22
চিনি,প্রতি কেজি,80,82,79,80,75,80,4.516129032258064,60,65,29.6,2021-10-22
খেজুর(সাধারণ মানের),প্রতি কেজি,100,350,100,350,100,350,0.0,200,250,0.0,2021-10-22
লবণ(প্যাঃ)আয়োডিনযুক্ত(মানভেদে),প্রতি কেজি,30,35,30,35,30,35,0.0,25,35,8.333333333333332,2021-10-22
ডিম (ফার্ম),প্রতি হালি,35,37,35,37,37,40,-6.493506493506493,37,38,-4.0,2021-10-22
লেখার কাগজ(সাদা),প্রতি দিস্তা,20,25,20,25,20,25,0.0,18,25,4.651162790697675,2021-10-22
"এম,এস রড (৬০ গ্রেড)",প্রতি মেঃটন,73000,75700,73000,75700,73000,75700,0.0,54500,55500,35.18181818181818,2021-10-22
"এম,এস রড( ৪০ গ্রেড)",প্রতি মেঃটন,69000,71500,69000,71500,69000,70500,0.7168458781362007,51500,52500,35.09615384615385,2021-10-22
